id,origin,normalize,predict
5690048,3d+adobexd+animation+cards+colors+free+freebie+gestures+ios+kit+list+material+micro interaction+mockup+motion+navigation+profile+smooth+ui+xd,kit+adobexd+ui+motion+list+ios+3d+material+cards+navigation+colors+mockup+profile+animation+gestures+smooth+free+micro interaction+xd+freebie,website+profile
6133608,album+apple+beautiful+clean+desktop+highlight+hover+itunes+list+mac+minimalist+music+next+play+player+round+sidebar+simple+song+spotify,play+spotify+beautiful+minimalist+list+hover+round+sidebar+album+desktop+highlight+apple+song+player+next+mac+itunes+music+simple,mobile+music
6853143,app+burger+cafe+card+cart+clean+cook+delivery+design+food app+food delivery app+grocery+illustration+ios+list+mobile app design+order+restaurant+search+ui ux,cook+list+design+ios+cart+mobile+illustration+food delivery app+delivery+food+cafe+mobile app design+search+ui ux+grocery+order+burger+card+simple,mobile+food
6816310,app+card+clean+dark+dashboard+desktop+gradient+list+management+project+task+ui+web+website,gradient+desktop+ui+project+mobile+dashboard+list+task+black+card+simple+website+management,mobile+website+dashboard+black
6188166,account+app+blur+clean+color+comment+fashion+flat+gallery+gradient+interface+list+material+mobile+model+photo+profile+ui+vector+viewer,gradient+blur+ui+interface+fashion+list+viewer+photo+website+mobile+color+material+model+account+profile+flat+gallery+comment+vector+simple,mobile+website+profile+music
5731027,account+app+clean+details+list+message+mobile+profile+settings+ui,settings+ui+message+mobile+details+list+profile+account+simple+website,mobile+website+profile
5647953,app+burger+button+cart+concept+cuberto+delivery+food+graphics+icon+interface+list+search+ui+ux,icon+cart+button+search+ui+mobile+interface+ux+list+burger+cuberto+delivery+food+graphics+concept,mobile+food
5961284,animation+cell+code+cuberto+delete+development+github+icons+ios+list+mail+motion+search+swift+ui+ux,swift+ui+motion+code+github+search+cell+mail+ux+delete+list+icons+cuberto+animation+ios+development,mobile
5972331,app+card+color+design app+exploration+ios 11+list+podcast+streaming app+typogaphy+uidesign,streaming app+typogaphy+ios 11+design app+ui+mobile+color+list+exploration+podcast+card,mobile
5929162,app+balkan brothers+clean+dashboard+design+experience+interface+list+management+property+real estate+simple+ui+user+ux+web+website,experience+ui+mobile+property+interface+ux+balkan brothers+real estate+dashboard+list+user+design+simple+website+management,mobile+website+dashboard
6064392,animation+blue+feed+list+music app+ux animation+ux-ui,ui+feed+ux animation+list+music+animation+blue,mobile+music+blue
5840443,app+badges+dashboard+fuel+icons+illustration+list+map+menu+mobile+navigation+petrol+points+profile+rewards+station+tabs+ui+ux+widelab,rewards+points+ui+dashboard+list+fuel+website+menu+station+mobile+illustration+ux+tabs+petrol+badges+navigation+map+icons+profile+widelab,mobile+website+dashboard+profile
6948137,after effects+animation+application+cards+case study+clean+groups+ios+mobile app+navigation+product design+ui+user list+ux+yellow,user list+yellow+ui+mobile+navigation+groups+ux+cards+after effects+ios+simple+case study+animation+website+product design,mobile+website+yellow
6083815,app+card+cooking+design+food+list+salad+sketch+ui,cooking+ui+mobile+card+list+sketch+design+food,mobile+food
6217864,app+ar+clean+description+design+gallery+info card+infomation+list+map+message+mobile+profile+ui+weather,ar+ui+message+mobile+gallery+map+info card+infomation+list+profile+design+description+weather+simple+website,mobile+website+profile+weather+travel
5747363,ai+animation+app+ar+artificial+artificial intelligence+augmented+bubbles+corner+flat+interface+list+material+mockups+profile+reality+ui+virtual+visual,augmented+ui+mockups+bubbles+virtual+interface+list+reality+corner+ar+mobile+material+artificial intelligence+profile+animation+flat+artificial+visual+ai,mobile+profile+music
6296186,app+ar+augmented reality+clean+coffee+flat+future+futuristic+interface+list+material+minimalist+scanner+simple+suggestion+ui+virtual reality+vr,future+ar+augmented reality+ui+vr+mobile+flat+minimalist+interface+material+virtual reality+list+futuristic+coffee+suggestion+scanner+simple,mobile
6227589,app+clean+clothing+comment+fab+fashion+flat+gallery+gradient+instagram+list+material+minimalist+photo+stories+ui,gradient+stories+ecommerce+ui+social+mobile+flat+minimalist+fashion+gallery+material+comment+list+fab+photo+simple,mobile+website+ecommerce+music
6806874,app+apple+blue+clean+design+grid+inspiration+interface+minimal+minimalism+mobile+ndro+sandro tavartkiladze+tavdro+ui+ux+web+website+white,minimalism+tavdro+ui+grid+apple+mobile+interface+ndro+ux+sandro tavartkiladze+inspiration+design+white+simple+website+blue,mobile+website+grid+white+blue
5772908,activity+add+app+card+color+corner+data+design+feed+flat+fluid+illustration+ios+list+round+ui+update,corner+ui+add+data+mobile+feed+flat+illustration+color+fluid+ios+list+update+round+design+card+activity,mobile+music
5849294,animation+ecommerce+metro+mp4+quick access+quick find+search+search bar+search engine+shopping app+shopping list+ui+ux+video,metro+ecommerce+ui+search+search bar+shopping list+ux+mp4+search engine+shopping app+video+quick access+animation+quick find,mobile+ecommerce
6122997,3d+app+countdown+list+mobile+motion+offer+promo+restaurant+ui+ux,promo+ui+countdown+motion+mobile+ux+offer+list+food+3d+website,mobile+website+food
5670335,apple+ar+augmented+buy+camera+design+device+flat+headphones+interface+ios+list+material+music+processing+recognition+similar+store+ui+virtual,augmented+headphones+ui+virtual+interface+device+list+design+ios+processing+ar+camera+buy+material+similar+store+recognition+apple+flat+music,mobile+music
6419506,blue+car+card+clean+events+favorite+interface+ios+light+list+location+map+mobile+parking+search+spot+target+ui+ux+vehicle,ui+interface+list+vehicle+ios+website+parking+target+mobile+ux+favorite+car+search+spot+map+events+light+blue+location+card+simple,mobile+website+blue
6576330,app+business+calendar+cuberto+daily+design+graphics+icons+ios+list+map+meeting+mobile+month+time+ui+ux,meeting+time+ui+mobile+ux+daily+calendar+list+map+business+icons+cuberto+design+month+ios+graphics+website,mobile+website
6766138,app+blue+calendar+chart+clean+colors+design+desktop+digital+gradient+menu+minimal+profile+round+shadow+task+task list+ui+ux+white,gradient+ui+task list+calendar+round+design+desktop+menu+mobile+ux+digital+colors+profile+blue+shadow+chart+task+white+simple,mobile+chart+profile+white+blue
