id,origin,normalize,predict
5881393,android+app+ar+augmented+augmentedreality+behance+distance+flat+food+friends list+future+interface+ios+iphone+map+mobile+navigation+street+tourism+travel,ar+distance+ios+map+travel+food+friends list+navigation+street+android+interface+website+augmentedreality+flat+future+behance+mobile+augmented,mobile+website+travel+food
5886791,android+app+ar+augmented+augmentedreality+behance+distance+flat+food+friends list+future+interface+ios+iphone+map+mobile+navigation+street+tourism+travel,ar+distance+ios+map+travel+food+friends list+navigation+street+android+interface+website+augmentedreality+flat+future+behance+mobile+augmented,mobile+website+travel+food+music
6868836,app+audio+blog+calendar+clean+date+details+gallery+list+map+message+mobile+profile+search+share+travel+trip+ui+video+voice,list+search+social+details+voice+map+calendar+simple+travel+website+gallery+ui+mobile+profile+message+audio+video+share+date,mobile+website+profile+travel
6785639,app+dashboard+flat+ios+iphone+itinerary+list+mobile+travel+ui+ux,list+ios+ux+travel+itinerary+website+ui+flat+mobile+dashboard,mobile+website+dashboard+travel
6832000,app+booking+clean+date+description+details+filter+hotel+list+map+message+mobile+order+price+reserve+search+travel+trip+ui,details+list+price+map+message+description+hotel+reserve+travel+booking+search+date+simple+filter+website+order+ui+mobile,mobile+website+travel
6004442,app+beach+california+clean+experience+flow+freelance+interaction+ios+list+mobile animation+mobile app+mobile design+people+results+surfboard+surfers+travel agency+travel app+users,list+mobile animation+results+people+freelance+surfers+interaction+simple+travel+website+beach+users+travel agency+flow+mobile+surfboard+experience+california+ios,mobile+website+travel+music
6974612,app design+application+card design+colorful+icon+images+interaction+list+mobile+my+personal+product design+profile+tour+travel+trip+ui+user experience+user interface+ux,profile+list+icon+travel+user experience+card design+interaction+product design+images+website+my+tour+ui+mobile+personal+colorful+ux,mobile+website+profile+travel
6716283,app+app design+ios+list+map+mobile+search+travel+user experience+user interface,list+ios+map+user experience+search+website+ui+travel+mobile,mobile+website+travel
6018691,account+ios+list view+mobile app+profile+sketch+stats+surfing+travel+ui+ux+visual design,profile+account+list view+sketch+stats+website+ui+travel+surfing+ios+visual design+mobile+ux,mobile+website+profile+travel
3511426,color+hangout+history+list+london+mobile+party+sydney+travel+trip+trip planner+ui,list+party+travel+london+sydney+trip planner+website+history+color+ui+mobile+hangout,mobile+website+travel
3745667,color+hangout+history+list+london+mobile+party+planner+sydney+travel+trip+ui,list+party+travel+london+sydney+website+history+color+ui+mobile+hangout+planner,mobile+website+travel
3508994,details+hangout+history+list+london+mobile+party+slider+sydney+travel+trip+ui,details+list+party+london+sydney+slider+website+history+travel+ui+mobile+hangout,mobile+website+travel
3764228,color+hangout+history+list+london+mobile+party+planner+sydney+travel+trip+ui,list+party+travel+london+sydney+website+history+color+ui+mobile+hangout+planner,mobile+website+travel
6130693,cards+filters+ios+list+map+mobile app+pins+spots+surfing+travel+ui+ux,list+map+filters+cards+pins+website+ui+travel+surfing+spots+ios+mobile+ux,mobile+website+travel
6237660,app+clean+holiday+interface+iphone+list+mobile+subtl+travel+ui+ux+visuality,visuality+list+interface+simple+website+travel+ui+subtl+mobile+holiday+ux,mobile+website+travel
3513779,color+details+hangout+list+london+mobile+party+sydney+travel+trip+trip planner+ui,details+list+party+travel+london+sydney+trip planner+website+ui+color+mobile+hangout,mobile+website+travel
4215861,finder+list+mobile+profile+redesign+restaurant+reviews+search+travel+trip,profile+list+food+redesign+search+reviews+website+travel+mobile+finder,mobile+website+profile+travel+food
2969016,app+card+clean+feed+icon+ios+ios10+journey+list+mobile+travel+ui,card+journey+ios10+ios+list+icon+feed+simple+website+travel+ui+mobile,mobile+website+travel
3794824,color+hangout+history+list+london+mobile+party+planner+sydney+travel+trip+ui,list+party+travel+london+sydney+website+history+color+ui+mobile+hangout+planner,mobile+website+travel
3797606,birds+color+forest+hangout+list+mobile+party+planner+travel+trip+ui+ux,list+party+travel+forest+birds+website+ui+color+mobile+hangout+planner+ux,mobile+website+travel+music
5662885,app+bank+concept+finance+list+minimal+mobile+money+moneybox+piggybank+progress+transfer+travel+trip,finance+list+progress+money+moneybox+transfer+simple+website+travel+concept+mobile+piggybank,mobile+website+finance+travel
5878332,app+clean+collection+design+detail+illustration+ios+list ui+mobile app+mockup+place+settings+sygic+travel+trip+ui+ux,ios+settings+travel+detail+sygic+design+collection+simple+website+illustration+ui+place+mobile+mockup+list ui+ux,mobile+website+travel
6751157,booking+dailyui+ios+list+mobile+price+travel+travel app+ui,list+price+booking+ui+website+travel+ios+mobile,mobile+website+travel
3113172,app+ios+iphone+list+mobile+navigation+travel+ui+ux+white,list+ios+white+website+ui+travel+navigation+mobile+ux,mobile+website+travel+white
3629567,booking+calendar+checkout+dates+experiences+headout+illustration+list+mobile+payment+travel+variant,variant+list+checkout+booking+experiences+dates+calendar+headout+website+travel+illustration+mobile,mobile+website+checkout+travel
2560034,android+dark+datepicker+filters+ios+list+map+mobile+results+search+travel,list+map+filters+black+datepicker+android+search+results+website+travel+ios+mobile,mobile+website+travel+black
4781393,app+bucket+flat+interface+ios+list+mobile+transport+travel+trips+ui+ux,list+ios+travel+bucket+trips+interface+website+transport+flat+ui+mobile+ux,mobile+website+travel
4287949,app+clean+design+illustration+ios11+iphone+iphone x+mobile+travel+ui+uiux+ux,iphone x+design+simple+website+travel+illustration+ui+mobile+ux,mobile+website+travel
5983654,app+card+clean+design+discover+figma+food+ios+iphone x+list+mobile+muzli+restaurant+travel+trip+ui+ux,card+list+ios+figma+iphone x+discover+food+muzli+design+simple+website+travel+ui+mobile+ux,mobile+website+travel+food
4134475,mobile app+packing list+reminder+travel app+ui+ui design+ux+ux design,ux design+packing list+website+ui+travel+mobile+reminder+ux,mobile+website+travel
5050264,app+destination+discover+friends+list+mobile+plan+schedule+travel+ui,list+travel+discover+friends+website+ui+schedule+plan+mobile+destination,mobile+website+travel
5741174,app+blog+details+follow+gallery+list+mobile+news+profile+social+tag+travel,details+profile+list+gallery+website+tag+travel+news+mobile+follow+social,mobile+website+profile+travel
4242271,cruise+cruises+filters+holiday+holidaycheck+list+mobile+offers+rwd+tiles+travel,tiles+list+filters+cruise+offers+cruises+holidaycheck+rwd+website+travel+mobile+holiday,mobile+website+travel
3507284,cards+cities+clay+continent+experience+gradient+headout+iphone+perspective+selection+travel+world,cities+travel+selection+cards+experience+clay+headout+gradient+perspective+world+mobile+continent,mobile+travel
6610062,app+cards+dark+dark mode+ios+list+mobile app+packing+product+simple+todo+travel+trip+ui+ux+weather,list+ios+product+travel+cards+black+weather+dark mode+website+packing+simple+ui+todo+mobile+ux,mobile+website+weather+travel+black
3025606,adobe max+adobe xd+form+interaction+interface+ios+iphone+mobile+ocr a std+rift+xd,rift+interaction+adobe max+adobe xd+interface+website+ocr a std+xd+form+ios+mobile,mobile+website+form
5432763,application+design+layout+list+message+mobile+travel+ui+ux+vietnam,list+message+layout+design+vietnam+website+ui+travel+mobile+ux,mobile+website+travel
2675719,android+categories+clean+document+flat+icons+iphone+list+material+mobile+simple+travel,list+material+travel+icons+android+simple+website+flat+categories+mobile+document,mobile+website+travel
2757709,079+california+dailyui+gradient+itinerary+list+map+mobile+travel,list+map+travel+california+itinerary+ui+website+gradient+079+mobile,mobile+website+travel
4313412,holiday+holidaycheck+hotel+mobile+travel+trip+urlaub+vacation,urlaub+holiday+hotel+holidaycheck+travel+website+mobile,mobile+website+landing+travel
6628332,booking+calculator+card+currency+expense+flight+hotel+ios+itinerary+list+mobile ui+search+tracking+travel,card+list+travel+hotel+currency+tracking+booking+search+flight+itinerary+mobile ui+calculator+ios+expense,mobile+travel+blue
